street,state,city,county,country,postal_code,neighborhood,sublocality,housenumber,postal_town,subpremise,latitude,longitude,location_type,postal_code_suffix,street_number,address,count,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Collectivo - Lake,7,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Englemann,26,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Jalisco's,9,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Ian's,5,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Casablanca,13,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,NWQ,8,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Cunningham,7,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Chubbys,7,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0915918,-87.907364,proofed,,,usr,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Garage,9,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Sip ,2,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Hooligans,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Frozone,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Noodles ,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Camp,3,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,FedEx,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,blank,1,,,,,
North Old World 3rd Street,Wisconsin,Milwaukee,Milwaukee County,United States,53203,Westown,,,,,43.0432973,-87.9149207,ROOFTOP,,1013,Milwaukee Brat House,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Northpoint,,,,,43.0523441,-87.8911833,GEOMETRIC_CENTER,,,Brady and Prospect,22,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0527304,-87.8946667,ROOFTOP,,1323,Jack's on Brady,18,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052776,-87.894284,ROOFTOP,1612,1339,Club Brady,5,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052786,-87.894862,ROOFTOP,1612,1317,Rochambo,2,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052796,-87.899303,ROOFTOP,1515,1011,Glorioso's,1,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052955,-87.8981201,GEOMETRIC_CENTER,,,Cousin's - Brady,3,,,,,
North Arlington Place,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0530316,-87.8951274,ROOFTOP,,1701,Hi Hat,3,,,,,
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0531125,-87.8940596,ROOFTOP,,1344,Jimmy Johns - Brady,2,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.054621,-87.890963,ROOFTOP,,1827,Pizza Shuttle,8,,,,,
North Commerce Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Brewer's Hill,,,,,43.0547262,-87.9052875,ROOFTOP,,1872,Lakefront Brewery,1,,,,,
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.055207,-87.8891466,ROOFTOP,,1915,1915 North Prospect Avenue, Milwaukee,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0561684,-87.8894953,ROOFTOP,1409,1947,Comet Cafe,2,,,,,
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0590577,-87.8849585,ROOFTOP,,2211,Collectivo - Prospect,2,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0594679,-87.8859046,ROOFTOP,,2214,Ma Fischer's,5,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0594862,-87.8862121,ROOFTOP,,2203,Yo Factory,20,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.059687,-87.885641,ROOFTOP,,2220,Landmark Lanes,21,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0597851,-87.8855323,ROOFTOP,,2230,Oriental Theatre, 2230 N Farwell Ave,,,,,
North Farwell Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0599324,-87.8858835,ROOFTOP,,2235,Von Trier,6,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0599913,-87.8900349,ROOFTOP,,1609,7-Eleven - North,17,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Murray Hill,,,,,43.060283,-87.8870285,ROOFTOP,1124,1832,Vitucci's,6,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Murray Hill,,,,,43.060335,-87.887613,ROOFTOP,,1806,Fresh Fin,6,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Murray Hill,,,,,43.0603473,-87.8877348,ROOFTOP,,1804,Insomnia Cookes,3,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Riverside Park,,,,,43.0603885,-87.8898056,ROOFTOP,,1614,McDonald's - North,27,,,,,
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Riverside Park,,,,,43.0603885,-87.8898056,ROOFTOP,,1614,1614 East North Avenue, Milwaukee,,,,,
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Murray Hill,,,,,43.0604306,-87.883781,ROOFTOP,,2305,Whole Foods,20,,,,,
North Cambridge Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Riverside Park,,,,,43.0607675,-87.8918198,ROOFTOP,,2323,Cambridge Commons,282,,,,,
North Commerce Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.0609216,-87.8953035,ROOFTOP,,2340,Riverview,37,,,,,
North Humboldt Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.062439,-87.897488,ROOFTOP,3044,2416,2416 North Humboldt Boulevard, Milwaukee,,,,,
North Frederick Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Murray Hill,,,,,43.0647012,-87.8838941,ROOFTOP,4011,2544,2544 North Frederick Avenue, Milwaukee,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.065046,-87.878266,ROOFTOP,,2551,Starbucks - Downer,9,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.0659346,-87.8782885,ROOFTOP,,2597,Pizza Man,3,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.0665232,-87.8778741,ROOFTOP,,2608,Cafe Hollander,4,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.0670153,-87.8782972,ROOFTOP,4245,2643,Sendik's - Downer,6,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.0670958,-87.877837,ROOFTOP,,2650,Stone Creek - Downer,2,,,,,
East Park Place,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.0673736,-87.8830435,GEOMETRIC_CENTER,,,709 E Park place,1,,,,,
North Cramer Street,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Murray Hill,,,,,43.0683406,-87.8869881,ROOFTOP,3551,2743,2743 N Cramer St, Milwaukee,,,,,
North 1st Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Harambee,,,,,43.0697768,-87.91061,ROOFTOP,,2822,2822 North 1st Street, Milwaukee,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.070453,-87.887553,ROOFTOP,3565,2844,Miramar Theatre,33,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0709292,-87.8880632,ROOFTOP,3566,2867,Oakland Gyros,29,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.071279,-87.888097,ROOFTOP,,2907,Blaze Pizza,33,,,,,
North Cramer Street,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.071397,-87.886322,ROOFTOP,3240,2914,2914 North Cramer Street, Milwaukee,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.071544,-87.888294,ROOFTOP,3229,2921,Shawarma House,6,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0721409,-87.888063,ROOFTOP,,2949,Knuckleheads,17,,,,,
North Humboldt Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.0727559,-87.8980735,ROOFTOP,,2999,Collectivo - Humboldt,1,,,,,
North Frederick Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.073347,-87.883804,ROOFTOP,3308,3022,3022 North Frederick Avenue, Milwaukee,,,,,
North Frederick Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.073566,-87.8837999,ROOFTOP,3308,3034,3034 North Frederick Avenue, Milwaukee,,,,,
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0737517,-87.8800865,ROOFTOP,,3034,Zelazo Parking,8,,,,,
North Cramer Street,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.073828,-87.887003,ROOFTOP,3243,3047,3047 North Cramer Street, Milwaukee,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0742918,-87.8798681,ROOFTOP,,2419,Zelazo Front,9,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.074378,-87.8876322,ROOFTOP,3239,3070,3070 North Oakland Avenue, Milwaukee,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0748027,-87.8880521,ROOFTOP,,3101,Qdoba,36,,,,,
East Burleigh Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.0748313,-87.9018767,ROOFTOP,2104,722,Art Bar,1,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0749402,-87.8776627,ROOFTOP,,2600,Purin Hall,13,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0750048,-87.8813798,ROOFTOP,,2200,Union South,77,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0751744,-87.877669,ROOFTOP,,3116,Subway - Downer,1,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0752308,-87.881425,ROOFTOP,,2200,Union North,87,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.075309,-87.879804,ROOFTOP,,2442,Mellencamp Hall Parking,3,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0753494,-87.8830974,ROOFTOP,,3101,KIRC Parking,22,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0753936,-87.8880629,ROOFTOP,,3129,Jimmy Johns - Oakland,9,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0754651,-87.8838941,ROOFTOP,,3135,Physics Kenwood,18,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0755319,-87.8880608,ROOFTOP,3049,3139,Domino's Pizza - Oakland,4,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.075684,-87.8789516,ROOFTOP,,3203,Mitchell Hall,1,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Downer Woods,,,,,43.0760439,-87.8824595,ROOFTOP,,3202,Lubar,26,,,,,
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,Music Building,43.0762821,-87.8798006,ROOFTOP,,2400,Music Building Parking,9,,,,,
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0767674,-87.8807049,ROOFTOP,3175,2311,Library,121,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,Garland Hall,43.0770558,-87.8790209,ROOFTOP,,,Garland Hall,6,,,,,
North Lake Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0771588,-87.873053,ROOFTOP,,3271,Hefter Center,4,,,,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0777702,-87.8882464,ROOFTOP,,3301,7-Eleven - Oakland,30,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,Alumni House,1,,,,,
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,Merrill Hall,43.0783696,-87.8785429,ROOFTOP,,2512,Merrill Hall,11,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0786469,-87.8795528,ROOFTOP,,3351,Norris Health Center,2,,,,,
North Frederick Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0787354,-87.8837889,ROOFTOP,2901,3400,Honor's College,1,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0789822,-87.8822568,ROOFTOP,,3400,Sandburg,931,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0789822,-87.8822568,ROOFTOP,,3400,sandburg,1,,,,,
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0796966,-87.8820825,ROOFTOP,,3400,USR Parking,210,,,,,
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0803017,-87.8796044,ROOFTOP,,3409,Klotsche,159,,,,,
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0826122,-87.8872685,ROOFTOP,,3524,William Ho's,3,,,,,
East Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Williamsburg Heights,,,,,43.0876197,-87.9061765,ROOFTOP,,401,Walmart,77,,,,,
West Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53216,Garden Homes,,,,,43.0902689,-87.9474818,ROOFTOP,,2700,McDonalds - Capitol,3, Wisconsin 53211, United States,1,,
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0916326,-87.8877604,ROOFTOP,,4075,Metro Market Shorewood,88, Shorewood, Wisconsin, United States,53211,1
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0919195,-87.8871241,ROOFTOP,2024,4106,Stone Creek Coffee Shorewood,1, Wisconsin 53211, United States,1,,
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.093328,-87.887202,ROOFTOP,,4170,Starbucks Shorewood,1, Wisconsin 53212, United States,1,,
North Humboldt Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53212,,,,,,43.0934616,-87.9034248,GEOMETRIC_CENTER,,,Upark,36, Wisconsin 53211, United States,1,,
West Arch Court,Wisconsin,Milwaukee,Milwaukee County,United States,53224,,,,,,43.0769194,-87.8838656,Proofed,,,Arch Court,54, Wisconsin 53211, United States,1,,
,,,,,,,,,,,43.0525161,-87.8944907,Proofed,,,CVSÛÒBrady,17, Wisconsin 53211, United States,1,,
,,,,,,,,,,,43.081242,-87.8964345,Proofed,,,WalgreensÛÒOakland,86, Wisconsin 53211, United States,1,,
,,,,,,,,,,,43.0664334,-87.8803992,Proofed,,,CVSÛÒDowner,4, Wisconsin 53212, United States,1,,
,,,,,,,,,,,43.0669313,-87.8784266,Proofed,,,BelAirÛÒDowner,17, Wisconsin 53211, United States,1,,
,,,,,,,,,,,43.0531275,-87.8958221,Proofed,,,WalgreensÛÒBrady,32, Wisconsin 53202, United States,1,,
,,,,,,,,,,,43.0569262,-87.9006613,Proofed,,,BelAirÛÒHumbolt,2, Milwaukee, Wisconsin, United States,53202,1
,,,,,,,,,,,43.0601366,-87.8879988,Proofed,,,Potbelly's,1, WI 53211, USA,1,,
